Autore,Titolo,Editore,Genere,Scaffale,ISBN,Copertina,Note
Isabel Allende,La città delle bestie,TEA,Letteratura straniera,11,,,
Anna Adamczyk; Gianluca Peciola,"Non per fame, prego",Feltrinelli,Saggistica varia,11,,,
Adam Hochschild,Gli spettri del Congo,Rizzoli,Saggistica varia,11,,,
David I. Kertzer,I papi contro gli ebrei,Rizzoli,Ebraismo e Israele,11,,,
Francesca Cavarocchi,La comunità ebraica di Mantova,Giuntina,Ebraismo e Israele,11,,,
Giulietto Chiesa; Vauro,Afghanistan anno zero,Guerini e Associati,Storia e politica,11,,,
Luigi Sandri,Città santa e lacerata,Monti,Saggistica varia,11,,,
Tiziano Terzani,Lettere contro la guerra,Longanesi,"Viaggi, montagna ed esplorazioni",11,,,
Roald Amundsen,Il mio volo polare,Mondadori,"Viaggi, montagna ed esplorazioni",11,,,
Gianni Vattimo,Dopo la cristianità,Garzanti,Religione e spiritualità,11,,,
Samhita Arni,Il Mahābhārata,,Saggistica varia,11,,,
Ettore Mo,Kabul,Rizzoli,"Viaggi, montagna ed esplorazioni",11,,,
Alda Merini,Magnificat,Frassinelli,Saggistica varia,11,,,
AA.VV.,I centomila canti di Milarepa (vol. I),Adelphi,Saggistica varia,11,,,
Reinhold Messner,La seconda morte di Mallory,Bollati Boringhieri,"Viaggi, montagna ed esplorazioni",11,,,
Alessandro Aruffo,L'islamismo militante,Datanews,Religione e spiritualità,11,,,
Noam Chomsky,9-11,Datanews,Saggistica varia,11,,,
J.D. Salinger,Nove racconti,Einaudi,Saggistica varia,11,,,
Noam Chomsky,11 settembre,Marco Tropea,Saggistica varia,11,,,
Luciano De Crescenzo,Storia della filosofia medioevale,Mondadori,Filosofia,11,,,
Martin Buber,L'eclissi di Dio,Mondadori,Religione e spiritualità,11,,,
Habib Souaidia,La sporca guerra,Editrice Berti,Storia e politica,11,,,
Giampiero Comolli,I pellegrini dell'assoluto,,Saggistica varia,11,,,
Éric-Emmanuel Schmitt,Il vangelo secondo Pilato,E/O,Religione e spiritualità,11,,,
Elena Loewenthal,Lo strappo nell'anima,Frassinelli,Ebraismo e Israele,11,,,
Tracy Chevalier,La ragazza con l'orecchino di perla,Neri Pozza,Letteratura straniera,11,,,
Joseph Conrad,Cuore di tenebra,,Letteratura straniera,11,,,
Joseph Roth,Giobbe,,Letteratura straniera,11,,,
Gian Carlo Calza,Stile Giappone,Einaudi,Saggistica varia,11,,,
Franco Cardini; Simonetta Della Seta,Il guardiano del Santo Sepolcro,Mondadori,Religione e spiritualità,11,,,
René Weis,Gli ultimi catari,Mondadori,Saggistica varia,11,,,
Mo Yan,Sorgo rosso,Einaudi,Letteratura straniera,11,,,
AA.VV.,Description de l'Égypte,Taschen,Saggistica varia,11,,,
Riccardo Calimani,Storia dell'ebreo errante,Mondadori,Ebraismo e Israele,12,,,
Victor Hugo,Notre-Dame de Paris,,Letteratura straniera,12,,,
Giampaolo Pansa,I figli dell'Aquila,Sperling & Kupfer,Storia e politica,12,,,
Jeremy Rifkin,Economia all'idrogeno,Mondadori,Saggistica varia,12,,,
Rohinton Mistry,Un perfetto equilibrio,Mondadori,Letteratura straniera,12,,,
Alessandro Baricco,Senza sangue,Rizzoli,Letteratura italiana,12,,,
Luciano Bonomi,"Darwin, Galileo e il gatto di Downing Street",Bertani,Scienza e matematica,12,,,
Pietro Citati,La mente colorata,Mondadori,Saggistica varia,12,,,
Chaim Potok,Vecchi a mezzanotte,Garzanti,Letteratura straniera,12,,,
Girolamo Arnaldi,L'Italia e i suoi invasori,Laterza,Storia e politica,12,,,
Maria Venturi,Chi perdona ha vinto,Rizzoli,Saggistica varia,12,,,
Giuseppe Barbaglio,Gesù ebreo di Galilea,EDB,Ebraismo e Israele,12,,,
Ernesto Buonaiuti,Storia del cristianesimo,Newton & Compton,Religione e spiritualità,12,,,
Dacia Maraini,La nave per Kobe,Rizzoli,Letteratura italiana,12,,,
V.S. Naipaul,Fedeli a oltranza,Adelphi,Letteratura straniera,12,,,
Alessandro Baricco,Next,Feltrinelli,Letteratura italiana,12,,,
Rainer Maria Rilke,Lettere a un giovane poeta,,Letteratura straniera,12,,,
Rose de Freycinet,Journal du voyage à bord de l'Uranie,Éditions du Gerfaut,"Viaggi, montagna ed esplorazioni",12,,,
Louis-Ferdinand Céline,Viaggio al termine della notte,Novecento,Letteratura straniera,12,,,
Gian Antonio Stella,L'orda,Rizzoli,Letteratura italiana,12,,,
Gaspare Barbiellini Amidei,Le domande di tutti,Rizzoli,Saggistica varia,12,,,
Fosco Maraini,Paropàmiso,Mondadori,"Viaggi, montagna ed esplorazioni",12,,,
Mark Kurlansky,Sale,,Saggistica varia,12,,,
Karen Armstrong,La Bibbia. Una biografia,Mondadori,Religione e spiritualità,12,,,dorso girato: identificazione incerta
Claudio Magris,L'infinito viaggiare,Mondadori,Saggistica varia,13,,,
Khaled Hosseini,Il cacciatore di aquiloni,Piemme,Letteratura straniera,13,,,
Alda Merini,Corpo d'amore. Un incontro con Gesù,Frassinelli,Religione e spiritualità,13,,,da verificare
,Trespassers on the Roof of the World,,Saggistica varia,13,,,autore da verificare
Dan Brown,Il codice da Vinci,Mondadori,Saggistica varia,13,,,
Federico Rampini,L'impero di Cindia,Mondadori,Storia e politica,13,,,
Umberto Eco,A passo di gambero,Bompiani,Letteratura italiana,13,,,
Daniel Kehlmann,La misura del mondo,Feltrinelli,Letteratura straniera,13,,,
Raffaele La Capria,L'amorosa inchiesta,Mondadori,Letteratura italiana,13,,,
Charles Howard-Bury,Mount Everest. The Reconnaissance 1921,Pilgrims,"Viaggi, montagna ed esplorazioni",13,,,
Livio Garzanti,(titolo da verificare),,Saggistica varia,13,,,dorso poco leggibile
Duccio Demetrio,Filosofia del camminare,Raffaello Cortina,Filosofia,13,,,
Mirella Tenderini; Michael Shandrick,Vita di un esploratore gentiluomo,,"Viaggi, montagna ed esplorazioni",13,,,editore da verificare
Nadia Fusini,Possiedo la mia anima,Mondadori,Religione e spiritualità,13,,,
Khaled Fouad Allam,La solitudine dell'Occidente,Rizzoli,Storia e politica,13,,,
Rudyard Kipling,Kim,Mondadori,Letteratura straniera,13,,,
Carlos Ruiz Zafón,L'ombra del vento,Mondadori,Letteratura straniera,13,,,
Virginia Woolf,Fra i suoi contemporanei,,Letteratura straniera,13,,,editore da verificare
Giuseppe Cederna,Il grande viaggio,Feltrinelli,Letteratura italiana,13,,,
Eric Shipton,Quel mondo inesplorato. Autobiografia,,"Viaggi, montagna ed esplorazioni",13,,,editore da verificare
Peter Hopkirk,Il Grande Gioco,Vivalda,"Viaggi, montagna ed esplorazioni",13,,,
Amartya Sen,Identità e violenza,Laterza,Storia e politica,13,,,
Roger Fry,Mantegna,,"Arte, musica e fotografia",13,,,da verificare
Edward Bulwer-Lytton,Gli ultimi giorni di Pompei,BUR,Storia e politica,13,,,
Siobhan Roberts,Il re dello spazio infinito,,Saggistica varia,13,,,editore da verificare
Rossana Rossanda,La ragazza del secolo scorso,Einaudi,Storia e politica,13,,,
Orhan Pamuk,Istanbul,Einaudi,Letteratura straniera,13,,,
Bruno Schulz,Le botteghe color cannella,Einaudi,Letteratura straniera,13,,,
Corrado Augias; Mauro Pesce,Inchiesta su Gesù,Mondadori,Religione e spiritualità,13,,,
,La guerra prima della guerra,,Storia e politica,13,,,dorso poco leggibile
Samuele Romanelli,Visioni d'Oriente,Giuntina,Saggistica varia,14,,,da verificare
Tiziano Terzani,La fine è il mio inizio,Longanesi,"Viaggi, montagna ed esplorazioni",14,,,
Griselda Pollock,Mary Cassatt,Thames & Hudson,"Arte, musica e fotografia",14,,,da verificare
Luigi Meneghello,Libera nos a Malo,BUR,Letteratura italiana,14,,,
Laura Laurenzi,Liberi di amare,Rizzoli,Saggistica varia,14,,,
Orhan Pamuk,Neve,Einaudi,Letteratura straniera,14,,,
Federico Rampini,L'ombra di Mao,Mondadori,Storia e politica,14,,,
,Annunziata 1977,,Saggistica varia,14,,,dorso poco leggibile
Piergiorgio Odifreddi,Incontri con menti straordinarie,Longanesi,Scienza e matematica,14,,,
Anna Politkovskaja,Proibito parlare,Mondadori,Saggistica varia,14,,,
Roberto Saviano,Gomorra,Mondadori,Letteratura italiana,14,,,
Christa Wolf,Cassandra,e/o,Saggistica varia,14,,,da verificare
Erika Silvestri,Il commerciante di bottoni,,Saggistica varia,14,,,editore da verificare
Lorenzo Gobbi,(titolo da verificare),,Saggistica varia,14,,,dorso poco leggibile
Jean Echenoz,Ravel,Adelphi,Letteratura straniera,14,,,
Azar Nafisi,Leggere Lolita a Teheran,Adelphi,Letteratura straniera,14,,,
Jacques Duquesne,Marie,,Saggistica varia,14,,,editore da verificare
Claudine le Tourneur d'Ison,Rue des Sept Filles,Albin Michel,Saggistica varia,14,,,
Alexandra David-Néel,Voyage d'une Parisienne à Lhassa,Pocket,"Viaggi, montagna ed esplorazioni",14,,,
Alexandra David-Néel,Journal de voyage / 2,Pocket,"Viaggi, montagna ed esplorazioni",14,,,
Alexandra David-Néel,Journal de voyage / 1,Pocket,"Viaggi, montagna ed esplorazioni",14,,,
Milena Agus,Mal di pietre,nottetempo,Saggistica varia,14,,,
Ann Spangler; Jean Syswerda,Women of the Bible,Zondervan,Saggistica varia,14,,,
C.G. Bruce,The Assault on Mount Everest 1922,Pilgrims,"Viaggi, montagna ed esplorazioni",14,,,
E.F. Norton,The Fight for Everest 1924,Pilgrims,"Viaggi, montagna ed esplorazioni",14,,,
,Kailash. La montagna degli dèi,,"Viaggi, montagna ed esplorazioni",14,,,autore da verificare
Gabriele Nissim,Una bambina contro Stalin,Mondadori,Storia e politica,14,,,
David Grossman,Vedi alla voce: amore,Mondadori,Letteratura straniera,14,,,
P.F.M. Fellowes,First Over Everest 1933,Pilgrims,"Viaggi, montagna ed esplorazioni",14,,,
William Dalrymple,L'assedio di Delhi,Rizzoli,"Viaggi, montagna ed esplorazioni",14,,,
Adriano Sofri,Chi è il mio prossimo,Sellerio,Saggistica varia,14,,,
Niall Ferguson,Impero,Mondadori,Storia e politica,14,,,
,Erbario,,Saggistica varia,15,,,autore da verificare
Sergio Romano,Con gli occhi dell'Islam,Longanesi,Storia e politica,15,,,da verificare
Franco Cardini,Il Signore della paura,,Saggistica varia,15,,,editore da verificare
Daniel Mendelsohn,Gli scomparsi,Neri Pozza,Saggistica varia,15,,,
Kader Abdolah,La casa della moschea,Iperborea,Letteratura straniera,15,,,
Ryszard Kapuściński,Ebano,Feltrinelli,"Viaggi, montagna ed esplorazioni",15,,,
Ryszard Kapuściński,Autoritratto di un reporter,Feltrinelli,"Viaggi, montagna ed esplorazioni",15,,,
Philip Roth,Patrimonio,Einaudi,Letteratura straniera,15,,,
Abraham B. Yehoshua,Fuoco amico,Einaudi,Letteratura straniera,15,,,
Rajaa Alsanea,Ragazze di Riad,Mondadori,Letteratura straniera,15,,,
Dang Thuy Tram,Last Night I Dreamed of Peace,,Letteratura straniera,15,,,editore da verificare
Jenny Diski,Skating to Antarctica,,Letteratura straniera,15,,,editore da verificare
Robert F. Scott,Scott's Last Expedition. The Journals,Pan,"Viaggi, montagna ed esplorazioni",15,,,
Virginia Woolf,To the Lighthouse,Penguin Classics,Letteratura straniera,15,,,
Virginia Woolf,The Waves,Penguin Classics,Letteratura straniera,15,,,
Vito Mancuso,L'anima e il suo destino,Raffaello Cortina,Religione e spiritualità,15,,,
Raniero La Valle,Se questo è un Dio,,Religione e spiritualità,15,,,editore da verificare
Leonardo Sciascia,Todo modo,Adelphi,Letteratura italiana,15,,,
Vladimir Nabokov,Lolita,Adelphi,Letteratura straniera,15,,,
Virginia Woolf,I capolavori,Mondadori,Letteratura straniera,15,,,da verificare
Edoardo Boncinelli,L'etica della vita,Rizzoli,Filosofia,15,,,
Philip Roth,Pastorale americana,Einaudi,Letteratura straniera,15,,,
Christine Garwood,Flat Earth,Pan,Saggistica varia,15,,,
Flavia Arzeni,Un'educazione alla felicità,,Saggistica varia,15,,,editore da verificare
John Snelling,Il Monte Sacro,,Saggistica varia,15,,,editore da verificare
Corrado Augias,I segreti di Londra,Mondadori,Saggistica varia,15,,,
Giovanni Comisso,La mia casa di campagna,,Letteratura italiana,15,,,editore da verificare
Angelo Del Boca,Gli italiani in Africa Orientale (vol. II),Mondadori,Storia e politica,16,,,
Günter Grass,Sbucciando la cipolla,Einaudi,Letteratura straniera,16,,,
Eugenio Scalfari,L'uomo che non credeva in Dio,Einaudi,Storia e politica,16,,,
Paolo Giordano,La solitudine dei numeri primi,Mondadori,Scienza e matematica,16,,,
Beda il Venerabile,Storia degli inglesi,,Storia e politica,16,,,editore da verificare
Domenico De Masi,Ozio creativo,BUR,Saggistica varia,16,,,
Attilio Brilli,Il viaggio in Italia,Il Mulino,"Viaggi, montagna ed esplorazioni",16,,,
Corrado Augias; Remo Cacitti,Inchiesta sul cristianesimo,Mondadori,Religione e spiritualità,16,,,
Delphine de Vigan,Gli effetti secondari dei sogni,Mondadori,Saggistica varia,16,,,
Marcus du Sautoy,Il disordine perfetto,Rizzoli,Scienza e matematica,16,,,
Angelo Del Boca,Gli italiani in Africa Orientale (vol. III),Mondadori,Storia e politica,16,,,
Angelo Del Boca,Gli italiani in Africa Orientale (vol. IV),Mondadori,Storia e politica,16,,,
Gianfranco Ravasi,Breviario laico,Mondadori,Religione e spiritualità,16,,,
David Grossman,A un cerbiatto somiglia il mio amore,Mondadori,Letteratura straniera,16,,,
,(volume rilegato - titolo da verificare),,Saggistica varia,16,,,dorso poco leggibile
Angelo Del Boca,Il mio Novecento,Mondadori,Storia e politica,16,,,
,Lo spirito gregario,,Saggistica varia,16,,,autore da verificare
,C'era una volta,BUR,Saggistica varia,16,,,autore da verificare
Massimo Cirri; Filippo Solibello,Nostra eccellenza,Chiarelettere,Saggistica varia,16,,,da verificare
Raffaele Cantone,Solo per giustizia,Mondadori,Saggistica varia,17,,,
Hermann Hesse,(album/biografia - da verificare),,Letteratura straniera,17,,,da verificare
Giuseppe Tucci,Il paese delle donne dai molti mariti,,Saggistica varia,17,,,editore da verificare
Enzo Bianchi,Il pane di ieri,Einaudi,Religione e spiritualità,17,,,
Philip Roth,Il fantasma esce di scena,Einaudi,Letteratura straniera,17,,,
Pietro Citati,La malattia dell'infinito,Mondadori,Scienza e matematica,17,,,
David Leavitt,Il matematico indiano,Mondadori,Scienza e matematica,17,,,
Murasaki Shikibu,Storia di Genji,Einaudi,Storia e politica,17,,,
Paolo Maurensig,Gli amanti fiamminghi,Mondadori,Letteratura italiana,17,,,da verificare
Paola Calvetti,Noi due come un romanzo,Mondadori,Letteratura italiana,17,,,
Boris Pahor,Qui è proibito parlare,Fazi,Letteratura italiana,17,,,
Guido Rampoldi,La mendicante azzurra,Feltrinelli,Saggistica varia,17,,,
Erri De Luca,Il giorno prima della felicità,Feltrinelli,Letteratura italiana,17,,,
Parag Khanna,I tre imperi,Fazi,Saggistica varia,17,,,
Vito Mancuso,Rifondazione della fede,Mondadori,Religione e spiritualità,17,,,
Barbara Spinelli,Il sonno della memoria,Mondadori,Saggistica varia,17,,,
Marco Politi,La Chiesa del no,Mondadori,Religione e spiritualità,17,,,
Daria Bignardi,Non vi lascerò orfani,Mondadori,Saggistica varia,17,,,
Dalai Lama,Incontro con Gesù,Mondadori,Religione e spiritualità,17,,,da verificare
Edward Louis Bernays,Propaganda,Fausto Lupetti,Filosofia,17,,,
,I detti islamici di Gesù,,Religione e spiritualità,17,,,curatore/editore da verificare
J.M. Coetzee,Diario di un anno difficile,Einaudi,Filosofia,17,,,
Paolo Farinella,"Bibbia, parole, segreti, misteri",,Religione e spiritualità,17,,,editore da verificare
M. Ruggiero,La vita è follia?,,Saggistica varia,17,,,da verificare
Piergiorgio Odifreddi,In principio era Darwin,Longanesi,Scienza e matematica,17,,,da verificare
Jean-Claude Ameisen,Dans la lumière et les ombres,Fayard / Seuil,Saggistica varia,17,,,
Corrado Augias; Vito Mancuso,Disputa su Dio e dintorni,Mondadori,Religione e spiritualità,17,,,
Patrick Desbois,«Fucilateli tutti»,,Saggistica varia,17,,,editore da verificare
Marco Aime,La macchia della razza,,Saggistica varia,17,,,editore da verificare
Keith Devlin,I problemi del millennio,Longanesi,Scienza e matematica,17,,,
Alan Boss,L'universo affollato,,Scienza e matematica,18,,,editore da verificare
Walter Bonatti,I miei ricordi,,"Viaggi, montagna ed esplorazioni",18,,,editore da verificare
Günter Grass,Camera oscura,Einaudi,Letteratura straniera,18,,,
Federico Rampini,Slow economy,Mondadori,Storia e politica,18,,,
Vittorio Andreoli,Preti,Piemme,Religione e spiritualità,18,,,
Piergiorgio Odifreddi,"Hai vinto, Galileo!",Mondadori,Scienza e matematica,18,,,
Muriel Barbery,L'eleganza del riccio,e/o,Saggistica varia,18,,,
Muriel Barbery,L'élégance du hérisson,Gallimard,Saggistica varia,18,,,
Caterina Contini,Ipazia e la notte,Longanesi,Saggistica varia,18,,,
Stuart Clark,I re del Sole. Il racconto dell'astronomia moderna,,Scienza e matematica,18,,,editore da verificare
Gad Lerner,Scintille,Feltrinelli,Saggistica varia,18,,,
Irène Némirovsky,Due,Adelphi,Letteratura straniera,18,,,
Susan Barry,Vedere e rivedere,,Saggistica varia,18,,,editore da verificare
Piero Rattalino,Chopin racconta Chopin,Laterza,"Arte, musica e fotografia",18,,,
Fritjof Capra,La rete della vita,BUR,Saggistica varia,18,,,
Stephen Jay Gould,I Have Landed,,Scienza e matematica,18,,,editore da verificare
Lyndon Evans (Ed.),The Large Hadron Collider: a Marvel of Technology,CRC / EPFL Press,Saggistica varia,18,,,da verificare
Massimo Di Paola,Tibet addio,Mursia,"Viaggi, montagna ed esplorazioni",18,,,
Roger Lewers,Il sogno di Nabucodonosor,,Saggistica varia,18,,,da verificare
Ian Stewart,La piccola bottega delle curiosità matematiche del Professor Stewart,Feltrinelli,Scienza e matematica,18,,,
Marco Bianchi,Gli ottomila,Mondadori,Saggistica varia,18,,,
Gerlinde Kaltenbrunner; Karin Steinbach,Da sola,Corbaccio,"Viaggi, montagna ed esplorazioni",18,,,
Penny Le Couteur; Jay Burreson,I bottoni di Napoleone,,Scienza e matematica,18,,,editore da verificare
Eric T. Bell,I grandi matematici,BUR,Scienza e matematica,18,,,
Tim Fischer; Tshering Tashi,Bold Bhutan Beckons,,"Viaggi, montagna ed esplorazioni",18,,,editore da verificare
Christian de Duve,Alle origini della vita,,Saggistica varia,18,,,editore da verificare
Chris Impey,La fine di tutto,,Scienza e matematica,18,,,editore da verificare
Luce Boulnois,La Route de la Soie,Olizane,"Viaggi, montagna ed esplorazioni",18,,,
Matteo Dominioni,Lo sfascio dell'impero. Gli italiani in Etiopia 1936-1941,Laterza,Storia e politica,18,,,
Ernest Hemingway,Il vecchio e il mare,Mondadori,Letteratura straniera,18,,,da verificare
,Pensare per due,,Filosofia,18,,,autore da verificare
Sean Carroll,La particella alla fine dell'universo,Codice,Scienza e matematica,19,,,da verificare
Ermanno Olmi,Lettera a una Chiesa che ha dimenticato Gesù,Piemme,Religione e spiritualità,19,,,
Marco Vannini,Oltre il cristianesimo,Bompiani,Religione e spiritualità,19,,,
Matt Ridley,Un ottimista razionale,Codice,Scienza e matematica,19,,,da verificare
Cédric Villani,Il teorema vivente,Rizzoli,Scienza e matematica,19,,,
John Lloyd; John Mitchinson,Il secondo libro dell'ignoranza,Einaudi,Saggistica varia,19,,,
,Il bosone di Higgs,Einaudi,Scienza e matematica,19,,,autore da verificare
Corrado Augias; Marco Vannini,Inchiesta su Maria,Rizzoli,Religione e spiritualità,19,,,
Beppe Severgnini,Italiani di domani,BUR Rizzoli,Storia e politica,19,,,
Virginia Woolf,Diari 1925-1930,BUR,Letteratura straniera,19,,,
Michela Marzano,Volevo essere una farfalla,Mondadori,Saggistica varia,19,,,da verificare
Edgar Morin,"La mia Parigi, i miei ricordi",Mondadori,"Biografie, diari e memorie",19,,,
Doris Lessing,L'abitudine di amare,Feltrinelli,Letteratura straniera,19,,,
Pierre Chavot,Voyages spirituels aux sommets du monde,,"Viaggi, montagna ed esplorazioni",19,,,editore da verificare
Leonard Susskind; George Hrabovsky,Il minimo teorico,Raffaello Cortina,Scienza e matematica,19,,,
Rob DeSalle; Ian Tattersall,Brain,Codice,Scienza e matematica,19,,,da verificare
Steven Strogatz,La gioia dei numeri,Einaudi,Scienza e matematica,19,,,
Luciano Maiani; Romeo Bassoli,A caccia del bosone di Higgs,Mondadori,Scienza e matematica,19,,,
Caleb Scharf,I motori della gravità,,Scienza e matematica,19,,,editore da verificare
Vito Mancuso,(titolo da verificare),,Religione e spiritualità,19,,,dorso poco leggibile
Nives Meroi,Sinai,,Saggistica varia,19,,,da verificare
Leon M. Lederman; Christopher T. Hill,Fisica quantistica per poeti,Bollati Boringhieri,Scienza e matematica,19,,,
Brian Switek,Il mio amato brontosauro,,Scienza e matematica,19,,,editore da verificare
Beppe Severgnini,(titolo da verificare),Rizzoli,Saggistica varia,19,,,dorso poco leggibile
Anna Bravo,La conta dei salvati,Laterza,Saggistica varia,19,,,
Ercole Ongaro,Resistenza nonviolenta 1943-1945,EMI,Storia e politica,19,,,da verificare
Ray Jayawardhana,Cacciatori di neutrini,,Scienza e matematica,19,,,editore da verificare
Yuval Noah Harari,Da animali a dèi,Bompiani,Storia e politica,19,,,
Paul Bloom,Buoni si nasce,,Saggistica varia,19,,,editore da verificare
Edward Frenkel,Amore e matematica,,Scienza e matematica,19,,,editore da verificare
Reviel Netz; William Noel,Il codice perduto di Archimede,Rizzoli,Scienza e matematica,19,,,da verificare
Marcus du Sautoy,Il disordine perfetto,Rizzoli,Scienza e matematica,20,,,possibile doppione - da verificare
Emmanuel Carrère,Le Royaume,P.O.L,Saggistica varia,20,,,
Daniel E. Lieberman,La storia del corpo umano,Codice,Scienza e matematica,20,,,da verificare
Sylvia Nasar,Il genio dei numeri,Rizzoli,Scienza e matematica,20,,,
,La lettera di Pascal,,Filosofia,20,,,autore da verificare
Vito Mancuso,Io amo. Piccola filosofia dell'amore,Garzanti,Religione e spiritualità,20,,,
Elena Ferrante,Storia della bambina perduta,e/o,Letteratura italiana,20,,,
Rob DeSalle; Ian Tattersall,Il tempo in una bottiglia,Codice,Saggistica varia,20,,,da verificare
John Allen Paulos,La prova matematica dell'inesistenza di Dio,Rizzoli,Scienza e matematica,20,,,da verificare
Clara Gallini,La sonnambula meravigliosa,L'asino d'oro,Saggistica varia,20,,,da verificare
Christof Koch,Una coscienza,,Scienza e matematica,20,,,editore da verificare
Piergiorgio Odifreddi,Le menzogne di Ulisse,Longanesi,Scienza e matematica,20,,,
Benoît B. Mandelbrot,La formula della bellezza,,Scienza e matematica,20,,,editore da verificare
Franca Rizzi Martini,Il barattolo di mandorle,,Saggistica varia,20,,,editore da verificare
John D. Barrow,Da zero a infinito,,Scienza e matematica,20,,,editore da verificare
Sandro Veronesi,Il mestiere di uomo,,Saggistica varia,20,,,da verificare
Ivar Ekeland,Il migliore dei mondi possibili,,Saggistica varia,20,,,editore da verificare
Benoît Rittaud,La favolosa storia della radice quadrata di due,,Storia e politica,20,,,editore da verificare
Edward O. Wilson,Il significato dell'esistenza umana,Codice,Filosofia,20,,,da verificare
Piergiorgio Odifreddi,Il museo dei numeri,Rizzoli,Scienza e matematica,20,,,
Claudia Senik,L'économie du bonheur,,Saggistica varia,20,,,editore da verificare
Jean-Marie Rouart,Ne pars pas avant moi,Gallimard,Saggistica varia,20,,,
,Verri / Gianni Bianchi (dorso poco leggibile),,Saggistica varia,20,,,da verificare
Andrea Vitali,Premiata Ditta Sorelle Ficcadenti,Garzanti,Letteratura italiana,20,,,
Stephen Jay Gould,Questa idea della vita,,Scienza e matematica,20,,,editore da verificare
Thomas Merton,Diario asiatico,Garzanti,Saggistica varia,20,,,da verificare
Hans-Peter Dürr,Anche la scienza parla soltanto per metafore,,Scienza e matematica,20,,,editore da verificare
,Alle origini del Corano,,Religione e spiritualità,20,,,da verificare
Ponzani,Guerra alle donne,,Storia e politica,20,,,da verificare
Michael Brooks,Ceravolo. Il prepuzio di Cristo,,Religione e spiritualità,20,,,da verificare
Elizabeth Kolbert,La sesta estinzione,Neri Pozza,Saggistica varia,21,,,da verificare
Erik Larson,Scia di morte,Neri Pozza,Saggistica varia,21,,,da verificare
Ray Jayawardhana,Strani mondi,,Saggistica varia,21,,,da verificare
Vito Mancuso,Questa vita,Garzanti,Religione e spiritualità,21,,,
Simon Singh,Big Bang,Rizzoli,Scienza e matematica,21,,,da verificare
Dava Sobel,Il segreto di Copernico,Rizzoli,Scienza e matematica,21,,,
Robert P. Crease; Alfred Scharff Goldhaber,Ogni cosa è indeterminata,,Saggistica varia,21,,,editore da verificare
Philip Ball,H2O,Rizzoli,Scienza e matematica,21,,,da verificare
Christa Wolf,La città degli angeli,e/o,Saggistica varia,21,,,
Svetlana Aleksievič,Tempo di seconda mano,Bompiani,Letteratura straniera,21,,,
Antonia Arslan,Il rumore delle perle di legno,Rizzoli,Saggistica varia,21,,,
Matthew Fox,Compassione,,Saggistica varia,21,,,editore da verificare
Jon Krakauer,Aria sottile,Corbaccio,"Viaggi, montagna ed esplorazioni",21,,,
Caleb Scharf,Il complesso di Copernico,,Scienza e matematica,21,,,editore da verificare
Anatoli Boukreev; Gary Weston DeWalt,Everest 1996. Cronaca di un salvataggio impossibile,Vivalda,"Viaggi, montagna ed esplorazioni",21,,,
Marco Palmieri,Gli internati militari italiani,Einaudi,Storia e politica,21,,,da verificare
Amir Alexander,Infinitamente piccoli,,Scienza e matematica,21,,,editore da verificare
John Gribbin,Il capolavoro di Einstein,Bollati Boringhieri,Scienza e matematica,21,,,
Albert Einstein,Le due relatività,Bollati Boringhieri,Scienza e matematica,21,,,
Corrado Augias,Le ultime diciotto ore di Gesù,Mondadori,Religione e spiritualità,21,,,
Claudio Magris,Non luogo a procedere,Garzanti,Saggistica varia,21,,,
Frédéric Lenoir,La puissance de la joie,Fayard,Saggistica varia,21,,,
Douglas J. Emlen,Armi. Animali,,Religione e spiritualità,21,,,editore da verificare
Gian Domenico Borasio,Saper morire,Bollati Boringhieri,Saggistica varia,21,,,
Vito Mancuso,Dio e il suo destino,Garzanti,Religione e spiritualità,21,,,
Amir D. Aczel,Caccia allo zero,Raffaello Cortina,Scienza e matematica,21,,,
,Il cosmo di Einstein,Lindau,Scienza e matematica,21,,,autore da verificare
S.A. Sabbadini,Pellegrinaggi verso il vuoto,,Saggistica varia,21,,,editore da verificare
,Scienza del magico,,Scienza e matematica,21,,,autore da verificare
,Oltre le religioni,,Religione e spiritualità,21,,,autore da verificare
Arthur Benjamin,La magia della matematica,,Scienza e matematica,21,,,editore da verificare
Eraldo Affinati,L'uomo del futuro. Sulle strade di don Lorenzo Milani,Mondadori,Saggistica varia,22,,,
,L'Italia nascosta,,Storia e politica,22,,,autore da verificare
Chris Impey,Il futuro nello spazio,,Scienza e matematica,22,,,da verificare
Luigi Luca Cavalli-Sforza,L'evoluzione della cultura,Codice,Scienza e matematica,22,,,
Luigi Natoli,I Beati Paoli,Sellerio,Saggistica varia,22,,,
Matthew Fox,La spiritualità del creato,,Religione e spiritualità,22,,,editore da verificare
Jacques Attali; Pierre-Henri Salfati,Le destin de l'Occident,Fayard,Saggistica varia,22,,,
Adam Rutherford,Anatomia di una rivoluzione,,Storia e politica,22,,,editore da verificare
Telmo Pievani,La scommessa perfetta,,Saggistica varia,22,,,da verificare
,Fermi,,Saggistica varia,22,,,autore da verificare
David Leavitt,L'uomo che sapeva troppo,Codice,Saggistica varia,22,,,
Paolo Cognetti,Le otto montagne,Einaudi,Letteratura italiana,22,,,
Paolo Mieli,In guerra con il passato,Rizzoli,Storia e politica,22,,,
Christian Albini,Il male,ESH,Saggistica varia,22,,,da verificare
